Sample,Label,Color,Marker,Size,Alpha,pH,Ca,Mg,Na,K,HCO3,Cl,SO4,TDS,,
LB-I,Surficial_Aquifer,Red,o,30,0.6,5,1.80351,0.63193,2.092068979,0.6255728,2.0745712,2.907146,5.47542,17,,
LB2-S,Surficial_Aquifer,Red,o,30,0.6,5.99,1.883666,0.63193,1.793201982,0.390983,11.1050576,3.19077,0,26,,
LB-3,Surficial_Aquifer,Red,o,30,0.6,5.06,0.761482,0.29166,6.690022779,0.9383592,2.6847392,8.296002,3.3621,26,,
LB-4,Surficial_Aquifer,Red,o,30,0.6,5.19,3.086006,0.72915,1.494334985,0.4300813,6.8338816,2.304445,2.97786,18,,
LB-5,Surficial_Aquifer,Red,o,30,0.6,5.68,5.81131,0.72915,1.60928383,0.390983,13.9118304,1.701744,4.22664,24,,
RES-2,Shallow_UFA,Blue,o,30,0.6,5.37,3.687176,1.190945,3.011659739,0.8992609,10.7999736,3.616206,6.43602,26,,
LBRAD4,Shallow_UFA,Blue,o,30,0.6,7.92,30.018422,3.69436,2.000109903,0.3127864,104.338728,3.19077,0,100,,
ON-1,Shallow_UFA,Blue,o,30,0.6,7.11,18.996972,1.60413,3.494444888,0.2736881,62.237136,6.913335,0.4803,66,,
PL-I,Shallow_UFA,Blue,o,30,0.6,8.26,13.987222,0.461795,1.195467988,0.1563932,43.932096,1.701744,0.4803,45,,
RES-I,Shallow_UFA,Blue,o,30,0.6,7.58,24.006722,2.600635,2.2989769,0.2736881,79.932008,2.694428,7.01238,83,,
T-1,Shallow_UFA,Blue,o,30,0.6,7.24,15.991122,5.59015,1.793201982,0.390983,60.8337496,1.808103,0.38424,66,,
TP-1,Shallow_UFA,Blue,o,30,0.6,7.78,28.014522,3.4027,2.207017824,0.2345898,105.559064,4.006189,1.63302,99,,
USFS,Shallow_UFA,Blue,o,30,0.6,7.28,30.018422,4.010325,1.310416833,0.1954915,109.83024,1.985368,0.67242,99,,
LVW-1,Deep_UFA,Black,o,30,0.6,7.49,44.0858,16.989195,3.103618815,0.4691796,210.50796,5.211591,4.3227,191,,
CW-2,Deep_UFA,Black,o,30,0.6,7.52,39.997844,12.00667,3.195577891,0.4300813,166.575864,5.814292,2.78574,161,,
CW-3,Deep_UFA,Black,o,30,0.6,7.56,39.997844,11.010165,2.98866997,0.390983,164.74536,5.495215,2.8818,158,,
CW-4,Deep_UFA,Black,o,30,0.6,7.59,37.993944,11.010165,2.98866997,0.4300813,160.474184,5.495215,2.30544,153,,
CW-7,Deep_UFA,Black,o,30,0.6,7.44,42.0819,12.00667,3.609393733,0.4300813,181.830064,6.097916,4.99512,173,,
CW-12,Deep_UFA,Black,o,30,0.6,7.48,39.997844,9.989355,2.597843897,0.4300813,165.965696,4.289813,4.13058,157,,
CW-13,Deep_UFA,Black,o,30,0.6,7.39,48.89516,11.010165,3.701352809,0.4691796,197.694432,6.487899,5.57148,188,,
CW-15,Deep_UFA,Black,o,30,0.6,7.41,42.0819,9.989355,2.804751818,0.4691796,167.7962,5.105232,2.8818,157,,
CW-19,Deep_UFA,Black,o,30,0.6,7.58,32.022322,9.13868,2.2989769,0.390983,139.728472,4.289813,0.76848,129,,
CW-23,Deep_UFA,Black,o,30,0.6,7.56,33.986144,9.940745,2.896710894,0.5082779,153.762336,5.211591,4.99512,142,,
CW-26,Deep_UFA,Black,o,30,0.6,7.3,50.0975,9.67339,4.000219806,0.4691796,187.931744,6.487899,3.45816,179,,
CW-27,Deep_UFA,Black,o,30,0.6,7.54,39.997844,9.989355,2.804751818,0.4691796,166.575864,4.786155,3.07392,157,,
Rainfall,Rainfall,Purple,o,30,0.6,4.71,0.040078,0.024305,0.252887459,0.1954915,0,0.425436,0.76848,2.2,,
LKB-2,Surface_Water,Green,o,30,0.6,4.69,1.40273,0.510405,1.494334985,0.2345898,1.220336,0.602701,0.28818,51,,
FG-1,Surface_Water,Green,o,30,0.6,6.32,6.81326,1.70135,1.908150827,1.9158167,28.1897616,2.800787,0.4803,32,,
